Holiday,HolidayFlag,DayOfWeek,WeekOfYear,Day,Month,Year,PeriodOfDay,ForecastWindProduction,SystemLoadEA,SMPEA,ORKTemperature,ORKWindspeed,CO2Intensity,ActualWindProduction,SystemLoadEP2
11,0,1,10,6,3,2012,28,917.42,4748.79,45.57,9.0,27.8,423.14,943.0,4519.53
11,0,0,37,10,9,2012,27,132.16,4527.92,66.19,15.0,24.1,505.53,166.0,4115.2
11,0,5,36,8,9,2012,21,108.77,4062.47,79.62,13.0,13.0,528.01,149.0,4491.82
11,0,3,6,9,2,2012,35,257.8,5865.16,197.5,9.0,18.5,541.31,152.0,5730.96
11,0,5,50,15,12,2012,9,734.29,3257.64,36.94,6.0,24.1,490.13,655.0,2851.95
2,1,5,51,24,12,2011,30,1209.8,4352.06,43.96,9.0,33.3,359.05,1420.0,3958.16
4,1,0,14,1,4,2013,29,1436.19,4792.07,128.15,4.0,37.0,377.54,1397.0,3715.63
11,0,4,23,7,6,2013,21,151.57,4415.76,123.17,17.0,20.4,452.72,157.0,4359.61
11,0,3,51,22,12,2011,15,938.77,4682.26,44.72,10.0,16.7,467.7,845.0,4064.89
5,1,4,14,6,4,2012,35,335.6,4563.23,48.54,11.0,24.1,539.3,522.0,4359.67
11,0,3,40,4,10,2012,11,150.1,2943.34,39.42,7.0,9.3,710.45,129.0,2824.61
11,0,4,3,18,1,2013,34,515.45,5626.14,129.31,4.0,9.3,460.93,503.0,5480.94
11,0,4,4,27,1,2012,32,415.99,4991.91,43.89,6.0,16.7,510.05,607.0,4825.86
11,0,0,5,30,1,2012,4,327.7,3121.62,62.19,7.0,1.9,479.73,330.0,2982.25
11,0,2,11,14,3,2012,22,373.2,4835.56,50.64,8.0,14.8,513.36,266.0,4790.05
11,0,4,52,28,12,2012,38,1528.7,5196.77,73.18,10.0,51.9,317.01,1333.0,4514.94
11,0,3,23,7,6,2012,12,421.88,2629.7,49.95,10.0,29.6,501.83,364.0,2618.23
11,0,4,39,28,9,2012,35,763.26,4786.71,70.59,12.0,27.8,458.92,763.0,4194.11
11,0,4,14,5,4,2013,20,277.7,4931.07,159.88,4.0,24.1,501.52,204.0,4754.25
11,0,2,48,27,11,2013,0,264.08,3701.55,48.12,6.0,9.3,493.2,289.0,3556.54
11,0,0,46,11,11,2013,0,933.5,3234.21,28.33,13.0,20.4,338.09,901.0,3037.92
11,0,1,50,11,12,2012,7,663.7,3406.66,39.32,5.0,20.4,501.5,692.0,3101.06
11,0,6,28,14,7,2013,2,88.2,2777.03,42.02,17.0,13.0,707.27,12.0,2714.36
11,0,0,18,29,4,2013,45,339.7,4095.4,76.01,6.0,20.4,544.86,298.0,3660.03
11,0,2,30,24,7,2013,3,188.07,2837.33,37.78,16.0,11.1,587.98,225.0,2644.76
11,0,3,43,24,10,2013,4,210.4,2919.12,33.82,11.0,7.4,492.66,183.0,2808.93
11,0,2,14,4,4,2012,21,1169.6,4819.45,58.81,4.0,40.7,477.87,1202.0,4561.0
11,0,6,34,25,8,2013,45,136.2,3422.71,67.14,15.0,16.7,582.14,88.0,3317.27
11,0,2,11,14,3,2012,19,361.8,4810.77,50.64,7.0,13.0,512.88,302.0,4717.45
11,0,3,44,1,11,2012,2,159.68,3307.75,41.83,1.0,13.0,610.4,197.0,3215.37
11,0,2,42,16,10,2013,20,860.6,4603.11,69.57,11.0,18.5,384.94,588.0,4604.35
11,0,6,15,15,4,2012,6,221.56,2696.26,54.69,2.0,13.0,585.04,213.0,2788.44
11,0,4,47,25,11,2011,29,728.86,4790.76,56.55,10.0,20.4,496.9,835.0,4397.66
11,0,1,20,15,5,2012,34,455.44,4850.67,86.6,13.0,27.8,545.66,616.0,4543.62
11,0,0,34,20,8,2012,27,397.0,4422.87,84.96,18.0,13.0,360.7,343.0,4252.72
8,1,0,19,6,5,2013,1,496.9,3074.5,61.69,10.0,16.7,373.94,585.0,2792.45
11,0,3,26,28,6,2012,32,445.4,4468.97,52.56,14.0,24.1,507.47,564.0,4330.24
11,0,2,31,1,8,2012,3,1174.37,2847.59,42.96,15.0,37.0,363.84,876.0,2256.39
11,0,2,33,14,8,2013,28,377.1,4407.0,96.27,19.0,24.1,426.48,384.0,4354.19
11,0,0,24,11,6,2012,38,103.9,4275.07,45.34,14.0,9.3,563.66,197.0,4131.66
